system:index,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,b1,.geo
0,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32607,COD,COD.6_1,COD.6.10_1,NA,FALSE,32608,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,41.30794752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32608,COD,COD.6_1,COD.6.10_1,NA,FALSE,32609,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,430.5498337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32609,COD,COD.6_1,COD.6.10_1,NA,FALSE,32610,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,47.69330708,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32967,COD,COD.6_1,COD.6.10_1,NA,FALSE,32968,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,165.3447748,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32968,COD,COD.6_1,COD.6.10_1,NA,FALSE,32969,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,261.8856203,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32969,COD,COD.6_1,COD.6.10_1,NA,FALSE,32970,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,431.9084667,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33328,COD,COD.6_1,COD.6.10_1,NA,FALSE,33329,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,56.96698962,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33329,COD,COD.6_1,COD.6.10_1,NA,FALSE,33330,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,118.5396255,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2,6208,Indonesia,indonesia,Regency,1,31251,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31252,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,24.26689598,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2,6208,Indonesia,indonesia,Regency,1,31252,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31253,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,251.4856559,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,2,6208,Indonesia,indonesia,Regency,1,31611,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31612,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,2,6208,Indonesia,indonesia,Regency,1,31612,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31613,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,664.2824263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,2,6208,Indonesia,indonesia,Regency,1,31971,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31972,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,9.843773633,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,2,6208,Indonesia,indonesia,Regency,1,31972,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31973,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,8.842592603,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,2,6208,Indonesia,indonesia,Regency,1,32331,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,32332,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,2,6208,Indonesia,indonesia,Regency,1,32332,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,32333,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,0.230776099,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2,NA,Peru,peru,Province,2,27469,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27470,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,278.9543903,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2,NA,Peru,peru,Province,2,27470,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27471,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,2341.965667,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2,NA,Peru,peru,Province,2,27471,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27472,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2,NA,Peru,peru,Province,2,27829,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27830,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,6105.372303,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2,NA,Peru,peru,Province,2,27830,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27831,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,3646.420505,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2,NA,Peru,peru,Province,2,27831,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27832,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,52.62062512,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2,NA,Peru,peru,Province,2,28187,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28188,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,6.193158728,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2,NA,Peru,peru,Province,2,28188,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28189,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,26.04958195,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2,NA,Peru,peru,Province,2,28189,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28190,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,12.36385879,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2,NA,Peru,peru,Province,2,28190,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28191,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,33.21152391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,2,NA,Peru,peru,Province,2,28191,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28192,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,1.505945374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,1,,Malaysia,malaysia,,3,34135,MYS,MYS.13_1,,,FALSE,34136,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,127.1892075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,1,,Malaysia,malaysia,,3,34136,MYS,MYS.13_1,,,FALSE,34137,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,328.2611219,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,1,,Malaysia,malaysia,,3,34137,MYS,MYS.13_1,,,FALSE,34138,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,1149.545797,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,1,,Malaysia,malaysia,,3,34138,MYS,MYS.13_1,,,FALSE,34139,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,100.5148115,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,1,,Malaysia,malaysia,,3,34139,MYS,MYS.13_1,,,FALSE,34140,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1,,Malaysia,malaysia,,3,34495,MYS,MYS.13_1,,,FALSE,34496,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,775.8913008,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1,,Malaysia,malaysia,,3,34496,MYS,MYS.13_1,,,FALSE,34497,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,1386.967158,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1,,Malaysia,malaysia,,3,34497,MYS,MYS.13_1,,,FALSE,34498,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,2771.815983,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1,,Malaysia,malaysia,,3,34498,MYS,MYS.13_1,,,FALSE,34499,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,1683.385595,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1,,Malaysia,malaysia,,3,34499,MYS,MYS.13_1,,,FALSE,34500,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,106.9502327,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1,,Malaysia,malaysia,,3,34855,MYS,MYS.13_1,,,FALSE,34856,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1,,Malaysia,malaysia,,3,34856,MYS,MYS.13_1,,,FALSE,34857,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,1495.521247,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1,,Malaysia,malaysia,,3,34857,MYS,MYS.13_1,,,FALSE,34858,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,1549.721748,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1,,Malaysia,malaysia,,3,34858,MYS,MYS.13_1,,,FALSE,34859,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,0.765001154,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1,,Malaysia,malaysia,,3,35216,MYS,MYS.13_1,,,FALSE,35217,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,16.71997798,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,1,,Malaysia,malaysia,,3,35217,MYS,MYS.13_1,,,FALSE,35218,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,34.42996637,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,1,,Suriname,suriname,,4,32883,SUR,SUR.9_1,,,FALSE,32884,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,2.229802338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,1,,Suriname,suriname,,4,32884,SUR,SUR.9_1,,,FALSE,32885,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,1,,Suriname,suriname,,4,33242,SUR,SUR.9_1,,,FALSE,33243,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,0.53796615,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,1,,Suriname,suriname,,4,33243,SUR,SUR.9_1,,,FALSE,33244,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,53.95807404,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,1,,Suriname,suriname,,4,33244,SUR,SUR.9_1,,,FALSE,33245,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,28.35704675,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1,,Suriname,suriname,,4,33245,SUR,SUR.9_1,,,FALSE,33246,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,45.18554104,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1,,Suriname,suriname,,4,33601,SUR,SUR.9_1,,,FALSE,33602,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,1.611761072,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1,,Suriname,suriname,,4,33602,SUR,SUR.9_1,,,FALSE,33603,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,26.02933926,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1,,Suriname,suriname,,4,33603,SUR,SUR.9_1,,,FALSE,33604,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,81.3161306,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1,,Suriname,suriname,,4,33604,SUR,SUR.9_1,,,FALSE,33605,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,131.0760378,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1,,Suriname,suriname,,4,33605,SUR,SUR.9_1,,,FALSE,33606,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,205.0926353,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1,,Suriname,suriname,,4,33606,SUR,SUR.9_1,,,FALSE,33607,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,0.230351239,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1,,Suriname,suriname,,4,33961,SUR,SUR.9_1,,,FALSE,33962,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,0.230214203,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1,,Suriname,suriname,,4,33962,SUR,SUR.9_1,,,FALSE,33963,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,22.08722067,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1,,Suriname,suriname,,4,33963,SUR,SUR.9_1,,,FALSE,33964,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,57.13893217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,1,,Suriname,suriname,,4,33964,SUR,SUR.9_1,,,FALSE,33965,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,149.772921,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,1,,Suriname,suriname,,4,33965,SUR,SUR.9_1,,,FALSE,33966,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,382.0431599,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,1,,Suriname,suriname,,4,34322,SUR,SUR.9_1,,,FALSE,34323,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,2.759016364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,1,,Suriname,suriname,,4,34323,SUR,SUR.9_1,,,FALSE,34324,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,22.98504031,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,1,,Suriname,suriname,,4,34324,SUR,SUR.9_1,,,FALSE,34325,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,45.98505805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,1,,Suriname,suriname,,4,34325,SUR,SUR.9_1,,,FALSE,34326,2,Suriname,suriname,Sipaliwini,sipaliwini,,,NA,,small,,,125.7599794,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1,,United States,united states,,5,45430,USA,USA.6_1,,,FALSE,45431,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1,,United States,united states,,5,45431,USA,USA.6_1,,,FALSE,45432,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1,,United States,united states,,5,45432,USA,USA.6_1,,,FALSE,45433,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0.370438257,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1,,United States,united states,,5,45433,USA,USA.6_1,,,FALSE,45434,2,United States,united states,Colorado,colorado,,,NA,,very big,,,2.716643738,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1,,United States,united states,,5,45434,USA,USA.6_1,,,FALSE,45435,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1,,United States,united states,,5,45435,USA,USA.6_1,,,FALSE,45436,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1,,United States,united states,,5,45436,USA,USA.6_1,,,FALSE,45437,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1,,United States,united states,,5,45437,USA,USA.6_1,,,FALSE,45438,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1,,United States,united states,,5,45790,USA,USA.6_1,,,FALSE,45791,2,United States,united states,Colorado,colorado,,,NA,,very big,,,0.430271417,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1,,United States,united states,,5,45791,USA,USA.6_1,,,FALSE,45792,2,United States,united states,Colorado,colorado,,,NA,,very big,,,675.4079785,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,1,,United States,united states,,5,45792,USA,USA.6_1,,,FALSE,45793,2,United States,united states,Colorado,colorado,,,NA,,very big,,,626.4617696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,1,,United States,united states,,5,45793,USA,USA.6_1,,,FALSE,45794,2,United States,united states,Colorado,colorado,,,NA,,very big,,,2320.632912,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,1,,United States,united states,,5,45794,USA,USA.6_1,,,FALSE,45795,2,United States,united states,Colorado,colorado,,,NA,,very big,,,1340.972214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,1,,United States,united states,,5,45795,USA,USA.6_1,,,FALSE,45796,2,United States,united states,Colorado,colorado,,,NA,,very big,,,152.3445669,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,1,,United States,united states,,5,45796,USA,USA.6_1,,,FALSE,45797,2,United States,united states,Colorado,colorado,,,NA,,very big,,,61.87671887,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,1,,United States,united states,,5,45797,USA,USA.6_1,,,FALSE,45798,2,United States,united states,Colorado,colorado,,,NA,,very big,,,4.602280328,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1,,United States,united states,,5,46150,USA,USA.6_1,,,FALSE,46151,2,United States,united states,Colorado,colorado,,,NA,,very big,,,6.820988708,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1,,United States,united states,,5,46151,USA,USA.6_1,,,FALSE,46152,2,United States,united states,Colorado,colorado,,,NA,,very big,,,777.2323159,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1,,United States,united states,,5,46152,USA,USA.6_1,,,FALSE,46153,2,United States,united states,Colorado,colorado,,,NA,,very big,,,1045.747221,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1,,United States,united states,,5,46153,USA,USA.6_1,,,FALSE,46154,2,United States,united states,Colorado,colorado,,,NA,,very big,,,356.6808908,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1,,United States,united states,,5,46154,USA,USA.6_1,,,FALSE,46155,2,United States,united states,Colorado,colorado,,,NA,,very big,,,278.7983332,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1,,United States,united states,,5,46155,USA,USA.6_1,,,FALSE,46156,2,United States,united states,Colorado,colorado,,,NA,,very big,,,373.4199862,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1,,United States,united states,,5,46156,USA,USA.6_1,,,FALSE,46157,2,United States,united states,Colorado,colorado,,,NA,,very big,,,299.2650927,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1,,United States,united states,,5,46157,USA,USA.6_1,,,FALSE,46158,2,United States,united states,Colorado,colorado,,,NA,,very big,,,691.5131414,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1,,United States,united states,,5,46510,USA,USA.6_1,,,FALSE,46511,2,United States,united states,Colorado,colorado,,,NA,,very big,,,6.621295508,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,1,,United States,united states,,5,46511,USA,USA.6_1,,,FALSE,46512,2,United States,united states,Colorado,colorado,,,NA,,very big,,,1159.87287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,1,,United States,united states,,5,46512,USA,USA.6_1,,,FALSE,46513,2,United States,united states,Colorado,colorado,,,NA,,very big,,,2154.986828,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,1,,United States,united states,,5,46513,USA,USA.6_1,,,FALSE,46514,2,United States,united states,Colorado,colorado,,,NA,,very big,,,2883.313983,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,1,,United States,united states,,5,46514,USA,USA.6_1,,,FALSE,46515,2,United States,united states,Colorado,colorado,,,NA,,very big,,,567.1526065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,1,,United States,united states,,5,46515,USA,USA.6_1,,,FALSE,46516,2,United States,united states,Colorado,colorado,,,NA,,very big,,,277.7124065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,1,,United States,united states,,5,46516,USA,USA.6_1,,,FALSE,46517,2,United States,united states,Colorado,colorado,,,NA,,very big,,,54.85322721,"{""type"":""MultiPoint"",""coordinates"":[]}"
